Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17296.1331,15454.15918,14724.56807,14770.41069,15312.6746,16210.73641,16973.8636,17273.65673,17728.69113,18055.36034,18869.16151,19593.44078,20440.13841,21310.23973,22668.86099,23840.45514,25494.36007,27208.77409,28472.02367,27514.53693,27961.04411,29056.45291,29389.09143,29681.77972,30744.75296,32057.90744,33067.14061,34902.81775,36785.09214,38355.64224,37325.14775,40161.36457,41867.60559,42171.75586,43045.93808
Switzerland,CHE,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64010.75855,62636.77411,61922.89084,61284.20426,61569.59654,61453.6297,61471.16896,62709.98712,64418.38576,65177.8822,67378.39015,68008.34419,67446.40443,66926.16798,68263.44114,69692.59548,72077.85985,74234.3011,75355.20249,72709.81383,74290.26196,74800.88864,74883.61589,75354.15505,76189.60184,76566.07725,77301.21243,77626.90274,79261.35636,79596.70295,77324.88709,81001.41112,82777.29358,82302.04918,82026.40873
Channel Islands,CHI,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10952.65575,11607.5304,12735.60133,13377.30532,13846.34816,14908.0348,15744.738,16683.9059,17156.97187,16896.12447,17525.27173,17870.30083,18240.20156,18902.87087,19961.98358,20918.52758,21968.53754,22878.88344,23509.78169,23013.58179,24116.76947,25366.26902,26670.49713,27291.35765,27505.04955,27811.37452,27958.7285,27892.99469,28492.66115,28218.53439,26248.56164,29089.85046,29569.47755,29563.67802,30182.78712
China,CHN,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.927741,1798.276105,2030.38637,2286.759744,2556.640572,2808.034031,3055.969779,3305.790611,3533.56587,3774.137664,4066.03627,4372.157056,4744.398551,5192.006046,5684.168731,6298.323185,7057.099933,8013.715683,8743.744912,9518.432147,10476.31236,11405.01728,12217.85432,13080.82882,13968.58149,14856.78076,15772.76476,16757.97363,17806.79023,18820.5131,19215.15417,20843.29783,21499.38228,22687.07587,23845.61972
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5255.509626,5052.851671,4843.293493,4645.467509,4502.459534,4638.757325,4807.424282,5072.597038,5093.131694,4987.357085,4838.340237,4609.144694,4368.928088,4060.00038,4088.945173,4032.24588,4049.26033,3999.690957,4096.723469,4151.053609,4338.652484,4017.40782,4234.180556,4597.186352,4907.574503,5110.862408,5320.846462,5556.113663,5670.200054,5894.878747,5787.815333,6045.204805,6272.263958,6511.751103,6733.154024
Cameroon,CMR,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4517.618878,4220.652974,3974.277595,3556.318544,3522.748853,3526.543675,3577.592041,3641.707505,3714.132126,3780.062173,3822.944254,3884.873048,3951.419362,4054.781332,4222.966387,4199.72271,4241.517447,4302.619263,4300.266404,4286.577182,4286.583029,4307.851956,4382.111208,4473.572319,4588.486495,4698.666778,4767.131861,4797.975442,4851.480039,4882.3556,4763.481944,4793.556282,4843.650382,4870.570765,4919.141669
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172.001597,1923.969923,1664.753652,1389.950869,1273.994588,1230.744876,1194.959102,1109.858457,1062.568707,983.6022258,886.7207593,841.0356514,839.7662083,861.0815743,892.4352911,918.5348424,938.0411641,967.0541529,996.7441181,993.9977857,1031.250153,1066.579515,1104.664007,1158.28193,1225.702187,1267.905487,1253.158157,1253.187349,1282.482279,1296.947573,1277.632863,1313.618218,1385.464727,1456.482368,1504.14374
"Congo, Rep.",COG,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8699.526839,8658.161453,8636.637192,8302.697268,7617.607503,7701.324685,7812.0478,7599.048154,7711.632126,7312.326651,7570.582793,7567.439168,7729.388901,7577.456305,7577.445973,7876.118067,8192.579797,7375.824541,7587.288262,8138.450338,8583.661798,8492.420984,9079.686564,8798.493825,9159.256644,8977.706816,8001.825519,7372.770467,7029.336516,6939.369134,6350.509134,6263.211613,6205.105041,6172.287767,6181.470533
Colombia,COL,"GDP per capita, PPP (constant 2021 international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9998.810697,9996.09786,10196.43297,10533.11496,10927.93895,11279.00046,11303.13089,11483.50501,11343.87991,10679.70927,10813.49423,10823.45049,10925.14856,11183.29118,11607.93849,11999.25496,12636.62466,13318.30331,13591.0609,13586.75184,14037.06427,14852.36995,15279.479,15912.24713,16480.36315,16821.38014,17003.24437,16986.03342,17104.13135,17336.7716,15861.49993,17383.09017,18458.72095,18382.99768,18503.6706
